Title,Date Added,Type,Genre,Rating
Breaking Bad,2013,tvSeries,"Crime,Drama,Thriller",9.5
Game of Thrones,-,tvSeries,"Action,Adventure,Drama",9.4
Rick and Morty,-,tvSeries,"Adventure,Animation,Comedy",9.3
Dark,2019,tvSeries,"Crime,Drama,Mystery",8.7
Stranger Things,2019,tvSeries,Sci-Fi,8.6
Stranger Things,2019,tvSeries,"Drama,Fantasy,Horror",8.8
Avatar: The Last Airbender,-,tvSeries,"Action,Adventure,Animation",9.2
Avatar: The Last Airbender,-,tvSeries,"Action,Adventure,Fantasy",-
Sherlock,2017,tvSeries,Crime,-
Sherlock,2017,tvSeries,"Crime,Drama,Mystery",9.1
Chernobyl,-,-,-,-
Friends,-,tvSeries,"Comedy,Drama",7.2
Friends,-,tvSeries,"Comedy,Romance",8.9
Friends,-,tvSeries,Romance,7.8
The Office,-,tvSeries,Comedy,7.8
The Office,-,tvSeries,"Comedy,Drama",8.5
The Office,-,tvSeries,Comedy,8.8
The Office,-,tvSeries,Comedy,6.0
The Office,-,tvSeries,Comedy,6.4
Better Call Saul,2018,tvSeries,"Crime,Drama",8.7
The Wire,-,tvSeries,"Crime,Drama,Thriller",9.3
The Wire,-,tvSeries,News,8.7
Supernatural,2019,tvSeries,"Drama,Fantasy,Horror",8.4
Fargo,-,tvSeries,"Crime,Drama,Thriller",8.9
Black Mirror,2019,tvSeries,"Drama,Sci-Fi,Thriller",8.8
Band of Brothers,-,tvSeries,"Comedy,Music,Reality-TV",7.7
Attack on Titan,2019,-,-,-
House,-,-,-,-
Money Heist,-,-,-,-
Peaky Blinders,2019,tvSeries,"Crime,Drama",8.8
Mr. Robot,-,tvSeries,"Crime,Drama,Thriller",8.5
Vikings,-,tvSeries,"Action,Adventure,Drama",8.6
The Sopranos,-,tvSeries,"Crime,Drama",9.2
The Simpsons,-,tvSeries,"Animation,Comedy",8.7
The Mandalorian,-,tvSeries,"Action,Adventure,Sci-Fi",9.1
Lost,-,tvSeries,"Game-Show,Reality-TV",7.3
Lost,-,tvSeries,"Adventure,Drama,Fantasy",8.3
Lost,-,tvSeries,"Adventure,Game-Show,Reality-TV",8.0
Westworld,-,tvSeries,"Drama,Mystery,Sci-Fi",8.8
The Umbrella Academy,2019,tvSeries,"Action,Adventure,Comedy",8.0
Narcos,2017,tvSeries,"Biography,Crime,Drama",8.8
True Detective,-,tvSeries,"Crime,Drama,Mystery",9.0
Marvel's Daredevil,2018,-,-,-
Brooklyn Nine-Nine,-,tvSeries,"Comedy,Crime",8.4
The Walking Dead,2019,tvSeries,"Drama,Horror,Thriller",8.3
Parks and Recreation,2016,tvSeries,Comedy,8.6
Mindhunter,-,tvSeries,"Crime,Drama,Thriller",8.6
South Park,-,tvSeries,"Animation,Comedy",8.7
Suits,2019,tvSeries,"Comedy,Drama",8.5
Hannibal,-,tvSeries,"Crime,Drama,Horror",8.5
Dexter,2018,tvSeries,"Crime,Drama,Mystery",8.7
Community,-,tvSeries,Comedy,8.5
Community,-,tvSeries,\N,-
Fringe,-,tvSeries,"Drama,Mystery,Sci-Fi",8.4
Modern Family,-,tvSeries,"Comedy,Drama,Romance",8.4
The Big Bang Theory,-,tvSeries,"Comedy,Romance",8.1
Firefly,-,tvSeries,"Adventure,Drama,Sci-Fi",9.0
Mad Men,2015,tvSeries,Drama,8.6
Fullmetal Alchemist: Brotherhood,2018,-,-,-
Ozark,2018,tvSeries,"Crime,Drama,Thriller",8.3
The Witcher,2019,tvSeries,"Action,Adventure,Drama",-
Lucifer,2019,tvSeries,"Crime,Drama,Fantasy",8.2
It's Always Sunny in Philadelphia,-,tvSeries,Comedy,8.8
